GISJOIN,STATEA,COUNTYA,TRACTA,BLKGRPA,below_poverty_total,above_poverty_total
G41001700016003,41,17,1600,3,368,1640
G41001700017001,41,17,1700,1,645,1726
G41001700017002,41,17,1700,2,767,1443
G41001700017003,41,17,1700,3,63,677
G41001700017004,41,17,1700,4,418,2189
G41001700018001,41,17,1800,1,512,1138
G41001700018002,41,17,1800,2,492,1786
G41001700018003,41,17,1800,3,301,1099
G41001700018004,41,17,1800,4,281,1096
G41001700019011,41,17,1901,1,135,1666
G41001700019021,41,17,1902,1,203,4939
G41001700019022,41,17,1902,2,382,1836
G41001700019023,41,17,1902,3,53,627
G41001700019024,41,17,1902,4,34,988
G41001700020001,41,17,2000,1,11,1563
G41001700020002,41,17,2000,2,20,2396
G41001700020003,41,17,2000,3,200,2163
G41001700020004,41,17,2000,4,155,1107
G41001700021001,41,17,2100,1,101,2440
G41001700021002,41,17,2100,2,907,2382
G41001700021003,41,17,2100,3,395,4353
G41001700021004,41,17,2100,4,24,938
G41001900100001,41,19,10000,1,47,780
G41001900100002,41,19,10000,2,435,947
G41001900200001,41,19,20000,1,144,333
G41001900200002,41,19,20000,2,149,1151
G41001900200003,41,19,20000,3,219,1263
G41001900200004,41,19,20000,4,13,360
G41001900300001,41,19,30000,1,74,1107
G41001900300002,41,19,30000,2,205,1117
G41001900300003,41,19,30000,3,202,1293
G41001900400001,41,19,40000,1,58,665
G41001900400002,41,19,40000,2,286,837
G41001900400003,41,19,40000,3,120,506
G41001900500011,41,19,50001,1,16,685
G41001900500012,41,19,50001,2,265,1743
G41001900500013,41,19,50001,3,422,1051
G41001900500014,41,19,50001,4,18,452
G41001900500021,41,19,50002,1,335,2313
G41001900500022,41,19,50002,2,338,728
G41001900500023,41,19,50002,3,306,918
G41001900500024,41,19,50002,4,319,1264
G41001900600001,41,19,60000,1,244,854
G41001900600002,41,19,60000,2,69,630
G41001900600003,41,19,60000,3,55,1628
G41001900700001,41,19,70000,1,111,1126
G41001900700002,41,19,70000,2,39,2015
G41001900700003,41,19,70000,3,235,1611
G41001900800001,41,19,80000,1,240,2592
G41001900800002,41,19,80000,2,106,1463
G41001900800003,41,19,80000,3,36,1052
G41001900800004,41,19,80000,4,20,1381
G41001900800005,41,19,80000,5,211,606
G41001900900001,41,19,90000,1,218,408
G41001900900002,41,19,90000,2,343,291
G41001900900003,41,19,90000,3,593,1982
G41001900900004,41,19,90000,4,397,1312
G41001901000001,41,19,100000,1,33,476
G41001901000002,41,19,100000,2,262,1365
G41001901000003,41,19,100000,3,307,716
G41001901100001,41,19,110000,1,136,799
G41001901100002,41,19,110000,2,85,1079
G41001901100003,41,19,110000,3,86,615
G41001901200001,41,19,120000,1,455,1821
G41001901200002,41,19,120000,2,1102,1389
G41001901200003,41,19,120000,3,210,764
G41001901200004,41,19,120000,4,157,392
G41001901200005,41,19,120000,5,64,415
G41001901200006,41,19,120000,6,177,595
G41001901300001,41,19,130000,1,530,1081
G41001901300002,41,19,130000,2,31,647
G41001901300003,41,19,130000,3,261,709
G41001901300004,41,19,130000,4,253,1378
G41001901300005,41,19,130000,5,159,341
G41001901400001,41,19,140000,1,22,982
G41001901400002,41,19,140000,2,225,1315
G41001901400003,41,19,140000,3,439,858
G41001901400004,41,19,140000,4,211,439
G41001901400005,41,19,140000,5,97,663
G41001901500001,41,19,150000,1,336,2676
G41001901500002,41,19,150000,2,561,2005
G41001901500003,41,19,150000,3,224,1766
G41001901600001,41,19,160000,1,110,604
G41001901600002,41,19,160000,2,751,2239
G41001901600003,41,19,160000,3,259,1340
G41001901600004,41,19,160000,4,546,324
G41001901600005,41,19,160000,5,241,832
G41001901700001,41,19,170000,1,41,984
G41001901700002,41,19,170000,2,430,1958
G41001901800001,41,19,180000,1,39,1000
G41001901800002,41,19,180000,2,87,512
G41001901800003,41,19,180000,3,499,471
G41001901800004,41,19,180000,4,113,487
G41001901800005,41,19,180000,5,143,1176
G41001901900001,41,19,190000,1,719,1740
G41001901900002,41,19,190000,2,174,801
G41001901900003,41,19,190000,3,439,716
G41001902000001,41,19,200000,1,340,979
G41001902000002,41,19,200000,2,210,531
G41001902000003,41,19,200000,3,387,830
G41001902000004,41,19,200000,4,349,1380
G41001902100001,41,19,210000,1,48,470
G41001902100002,41,19,210000,2,203,621
G41001902100003,41,19,210000,3,206,559
G41001902100004,41,19,210000,4,130,1233
G41001902100005,41,19,210000,5,112,647
G41001909900000,41,19,990000,0,0,0
G41002109601001,41,21,960100,1,127,804
G41002109601002,41,21,960100,2,50,386
G41002109601003,41,21,960100,3,47,485
G41002309601001,41,23,960100,1,105,700
G41002309601002,41,23,960100,2,217,388
G41002309601003,41,23,960100,3,78,812
G41002309602001,41,23,960200,1,85,656
G41002309602002,41,23,960200,2,125,725
G41002309602003,41,23,960200,3,160,967
G41002309602004,41,23,960200,4,359,992
G41002309602005,41,23,960200,5,126,770
G41002509601001,41,25,960100,1,309,1125
G41002509601002,41,25,960100,2,66,598
G41002509601003,41,25,960100,3,171,890
G41002509601004,41,25,960100,4,88,669
G41002509601005,41,25,960100,5,134,865
G41002509602001,41,25,960200,1,196,789
G41002509602002,41,25,960200,2,370,917
G41002709501001,41,27,950100,1,181,875
G41002709501002,41,27,950100,2,242,973
G41002709501003,41,27,950100,3,49,712
G41002709501004,41,27,950100,4,25,877
G41002709502001,41,27,950200,1,106,1406
G41002709502002,41,27,950200,2,0,677
G41002709502003,41,27,950200,3,109,1166
G41002709502004,41,27,950200,4,193,1459
G41002709502005,41,27,950200,5,55,1566
G41002709503001,41,27,950300,1,61,784
G41002709503002,41,27,950300,2,467,1107
G41002709503003,41,27,950300,3,0,205
G41002709503004,41,27,950300,4,100,742
G41002709503005,41,27,950300,5,42,475
G41002709503006,41,27,950300,6,234,1585
G41002709504001,41,27,950400,1,328,1193
G41002709504002,41,27,950400,2,53,1256
G41002709504003,41,27,950400,3,262,2024
G41002709504004,41,27,950400,4,73,588
G41002900001001,41,29,100,1,572,626
G41002900001002,41,29,100,2,427,345
G41002900002011,41,29,201,1,229,903
G41002900002012,41,29,201,2,376,665
G41002900002013,41,29,201,3,242,599
G41002900002021,41,29,202,1,524,765
